 ,Image_ID,Track,Mother?,Frame,X,Y,Ch1_Mean,Ch2_Mean,Ch3_Mean,Ch4_Mean,Ch5_Mean,Cilia_COMX,Cilia_COMY,Distance_to_Cilia_(um),Length,Feret,Straightness,Kurt,Skew,Angle
120,280316_weekend_xy10.nd2,1b,0,55,157,159,364.3875,46.0750,1387.8375,799.9375,0,156,158,1.4142,5.0000,6.0828,1.2166,-1.7567,0.1150,99.4623
121,280316_weekend_xy10.nd2,1b,0,56,162,159,200.8500,43.3375,1298.3375,781.3625,0,158,156,5.0000,8.0000,9.0554,1.1319,-1.3101,0.0040,96.3402
122,280316_weekend_xy10.nd2,1b,0,57,157,166,193.4625,154.9750,1382.2625,849.9000,0,157,158,8.0000,9.2801,8.5440,0.9207,-1.2219,-0.1644,110.5560
123,280316_weekend_xy10.nd2,1b,0,58,158,165,283.2500,147.7375,1304.3500,856.0875,0,156,162,3.6056,7.8482,7.2801,0.9276,-1.2861,0.3314,105.9454
124,280316_weekend_xy10.nd2,1b,0,59,160,164,238.5625,196.1750,1278.7875,810.1750,0,158,162,2.8284,8.8284,9.4868,1.0746,-1.4960,-0.2547,108.4349
125,280316_weekend_xy10.nd2,1b,0,60,163,159,209.6250,252.7500,971.1375,813.0375,0,159,162,5.0000,8.2426,8.9443,1.0851,-0.2884,0.2974,116.5651
126,280316_weekend_xy10.nd2,1b,0,61,159,166,210.0375,458.4750,862.6000,806.6875,0,158,162,4.1231,9.1623,10.1980,1.1130,-1.1489,0.5861,101.3099
127,280316_weekend_xy10.nd2,1b,0,62,161,167,130.4125,573.0750,581.5875,724.2875,0,156,162,7.0711,10.0828,11.1803,1.1089,-0.7952,0.0338,79.6952
128,280316_weekend_xy10.nd2,1b,0,63,158,166,103.7375,754.7375,295.8000,716.4500,0,155,159,7.6158,8.9907,10.0000,1.1123,-1.2682,0.1821,53.1301
129,280316_weekend_xy10.nd2,1b,0,64,157,167,186.5750,802.0875,110.7500,729.1125,0,156,158,9.0554,8.3657,8.5440,1.0213,-1.1666,-0.2591,69.4440
130,280316_weekend_xy10.nd2,1b,0,65,163,165,107.8500,977.5875,66.9000,729.4625,0,155,162,8.5440,8.1231,9.2195,1.1350,-0.0874,0.4530,77.4712
131,280316_weekend_xy10.nd2,1b,0,66,156,168,102.3500,1001.7625,46.0000,746.4625,0,160,161,8.0623,10.5712,9.4340,0.8924,-1.2310,0.3438,147.9946
132,280316_weekend_xy10.nd2,1b,0,67,155,175,118.8000,1227.6500,28.6500,823.4250,0,155,159,16.0000,7.0000,7.8102,1.1157,0.6024,1.2156,50.1944
133,280316_weekend_xy10.nd2,1b,0,68,155,175,121.1625,1376.0125,44.2625,843.3875,0,149,160,16.1555,9.1530,10.2956,1.1248,-0.7511,0.4035,29.0546
134,280316_weekend_xy10.nd2,1b,0,69,155,175,129.7375,1479.8750,41.9250,891.8125,0,147,164,13.6015,8.1623,8.0623,0.9877,-0.2390,0.6983,60.2551
135,280316_weekend_xy10.nd2,1b,0,70,154,173,69.2750,1595.7500,37.4125,912.0625,0,148,159,15.2315,6.6056,7.2111,1.0917,-1.0103,0.3949,33.6901
